Date,Student,Present
2025-03-01,Student_1,0
2025-03-02,Student_2,1
2025-03-03,Student_3,0
2025-03-04,Student_4,1
2025-03-05,Student_5,0
2025-03-06,Student_6,1
2025-03-07,Student_7,0
2025-03-08,Student_8,1
2025-03-09,Student_9,0
2025-03-10,Student_10,1
2025-03-11,Student_11,0
2025-03-12,Student_12,1
2025-03-13,Student_13,0
2025-03-14,Student_14,1
2025-03-15,Student_15,0
2025-03-16,Student_16,1
2025-03-17,Student_17,0
2025-03-18,Student_18,1
2025-03-19,Student_19,0
2025-03-20,Student_20,1
2025-03-21,Student_21,0
2025-03-22,Student_22,1
2025-03-23,Student_23,0
2025-03-24,Student_24,1
2025-03-25,Student_25,0
