Student,Incidents,Rewards,BehaviorIndex
Student_1,0,2,3.0
Student_2,1,1,3.1
Student_3,2,2,3.2
Student_4,3,1,3.3
Student_5,0,2,3.4
Student_6,1,1,3.5
Student_7,2,2,3.6
Student_8,3,1,3.7
Student_9,0,2,3.8
Student_10,1,1,3.9
Student_11,2,2,3.0
Student_12,3,1,3.1
Student_13,0,2,3.2
Student_14,1,1,3.3
Student_15,2,2,3.4
Student_16,3,1,3.5
Student_17,0,2,3.6
Student_18,1,1,3.7
Student_19,2,2,3.8
Student_20,3,1,3.9
Student_21,0,2,3.0
Student_22,1,1,3.1
Student_23,2,2,3.2
Student_24,3,1,3.3
Student_25,0,2,3.4
Student_26,1,1,3.5
Student_27,2,2,3.6
Student_28,3,1,3.7
