Student,Participation,Discipline,Notes
Student_1,2.5,3.0,Good
Student_2,2.6,3.1,Average
Student_3,2.7,3.2,Needs improvement
Student_4,2.8,3.3,Good
Student_5,2.9,3.4,Average
Student_6,3.0,3.5,Needs improvement
Student_7,3.1,3.6,Good
Student_8,3.2,3.7,Average
Student_9,3.3,3.8,Needs improvement
Student_10,3.4,3.9,Good
Student_11,3.5,4.0,Average
Student_12,3.6,4.1,Needs improvement
Student_13,3.7,4.2,Good
Student_14,3.8,4.3,Average
Student_15,3.9,4.4,Needs improvement
Student_16,4.0,4.5,Good
Student_17,4.1,4.6,Average
Student_18,4.2,4.7,Needs improvement
Student_19,4.3,4.8,Good
Student_20,4.4,4.9,Average
Student_21,4.5,3.0,Needs improvement
Student_22,4.6,3.1,Good
Student_23,4.7,3.2,Average
Student_24,4.8,3.3,Needs improvement
Student_25,4.9,3.4,Good
