Student,Club,SessionsAttended
Student_1,Chess,0
Student_2,Robotics,1
Student_3,Drama,2
Student_4,Art,3
Student_5,Music,4
Student_6,Chess,5
Student_7,Robotics,6
Student_8,Drama,7
Student_9,Art,8
Student_10,Music,9
Student_11,Chess,10
Student_12,Robotics,11
Student_13,Drama,0
Student_14,Art,1
Student_15,Music,2
Student_16,Chess,3
Student_17,Robotics,4
Student_18,Drama,5
Student_19,Art,6
Student_20,Music,7
Student_21,Chess,8
Student_22,Robotics,9
Student_23,Drama,10
Student_24,Art,11
Student_25,Music,0
Student_26,Chess,1
