Student,Competition,Score,Rank
Student_1,Comp_1,50,1
Student_2,Comp_2,51,2
Student_3,Comp_3,52,3
Student_4,Comp_4,53,4
Student_5,Comp_5,54,5
Student_6,Comp_1,55,6
Student_7,Comp_2,56,7
Student_8,Comp_3,57,8
Student_9,Comp_4,58,9
Student_10,Comp_5,59,10
Student_11,Comp_1,60,1
Student_12,Comp_2,61,2
Student_13,Comp_3,62,3
Student_14,Comp_4,63,4
Student_15,Comp_5,64,5
Student_16,Comp_1,65,6
Student_17,Comp_2,66,7
Student_18,Comp_3,67,8
Student_19,Comp_4,68,9
Student_20,Comp_5,69,10
Student_21,Comp_1,70,1
Student_22,Comp_2,71,2
