Date,Class,PresentCount,AbsentCount
2025-04-01,7A,20,0
2025-04-02,7B,19,1
2025-04-03,7A,18,2
2025-04-04,7B,17,3
2025-04-05,7A,16,4
2025-04-06,7B,20,0
2025-04-07,7A,19,1
2025-04-08,7B,18,2
2025-04-09,7A,17,3
2025-04-10,7B,16,4
2025-04-11,7A,20,0
2025-04-12,7B,19,1
2025-04-13,7A,18,2
2025-04-14,7B,17,3
2025-04-15,7A,16,4
2025-04-16,7B,20,0
2025-04-17,7A,19,1
2025-04-18,7B,18,2
2025-04-19,7A,17,3
2025-04-20,7B,16,4
2025-04-21,7A,20,0
2025-04-22,7B,19,1
2025-04-23,7A,18,2
2025-04-24,7B,17,3
2025-04-25,7A,16,4
