Student,Club,HoursPerWeek,Achievements
Student_1,Art,2,Yes
Student_2,Chess,3,No
Student_3,Robotics,4,No
Student_4,Drama,5,No
Student_5,Music,6,Yes
Student_6,Art,2,No
Student_7,Chess,3,No
Student_8,Robotics,4,No
Student_9,Drama,5,Yes
Student_10,Music,6,No
Student_11,Art,2,No
Student_12,Chess,3,No
Student_13,Robotics,4,Yes
Student_14,Drama,5,No
Student_15,Music,6,No
Student_16,Art,2,No
Student_17,Chess,3,Yes
Student_18,Robotics,4,No
Student_19,Drama,5,No
Student_20,Music,6,No
Student_21,Art,2,Yes
Student_22,Chess,3,No
