Student,Math,Physics,History,FinalAvg
Student_1,60,55,65,70.0
Student_2,61,56,66,70.5
Student_3,62,57,67,71.0
Student_4,63,58,68,71.5
Student_5,64,59,69,72.0
Student_6,65,60,70,72.5
Student_7,66,61,71,73.0
Student_8,67,62,72,73.5
Student_9,68,63,73,74.0
Student_10,69,64,74,74.5
Student_11,70,65,75,75.0
Student_12,71,66,76,75.5
Student_13,72,67,77,76.0
Student_14,73,68,78,76.5
Student_15,74,69,79,77.0
Student_16,75,70,80,77.5
Student_17,76,71,81,78.0
Student_18,77,72,82,78.5
Student_19,78,73,83,79.0
Student_20,79,74,84,79.5
Student_21,80,75,85,70.0
Student_22,81,76,86,70.5
Student_23,82,77,87,71.0
Student_24,83,78,88,71.5
Student_25,84,79,89,72.0
Student_26,85,80,90,72.5
Student_27,86,81,91,73.0
Student_28,87,82,92,73.5
Student_29,88,83,93,74.0
Student_30,89,84,94,74.5
