Student,Assignment1,Assignment2,Assignment3,Deadline
Student_1,Missing,Missing,Missing,2025-03-15
Student_2,Done,Done,Done,2025-03-15
Student_3,Done,Done,Done,2025-03-15
Student_4,Missing,Done,Done,2025-03-15
Student_5,Done,Missing,Done,2025-03-15
Student_6,Done,Done,Missing,2025-03-15
Student_7,Missing,Done,Done,2025-03-15
Student_8,Done,Done,Done,2025-03-15
Student_9,Done,Missing,Done,2025-03-15
Student_10,Missing,Done,Done,2025-03-15
Student_11,Done,Done,Missing,2025-03-15
Student_12,Done,Done,Done,2025-03-15
Student_13,Missing,Missing,Done,2025-03-15
Student_14,Done,Done,Done,2025-03-15
Student_15,Done,Done,Done,2025-03-15
Student_16,Missing,Done,Missing,2025-03-15
Student_17,Done,Missing,Done,2025-03-15
Student_18,Done,Done,Done,2025-03-15
Student_19,Missing,Done,Done,2025-03-15
Student_20,Done,Done,Done,2025-03-15
Student_21,Done,Missing,Missing,2025-03-15
Student_22,Missing,Done,Done,2025-03-15
Student_23,Done,Done,Done,2025-03-15
Student_24,Done,Done,Done,2025-03-15
Student_25,Missing,Missing,Done,2025-03-15
Student_26,Done,Done,Missing,2025-03-15
Student_27,Done,Done,Done,2025-03-15
Student_28,Missing,Done,Done,2025-03-15
Student_29,Done,Missing,Done,2025-03-15
Student_30,Done,Done,Done,2025-03-15
