ID,Participation,Discipline,Notes
1,2.5,3.0,Good
2,2.6,3.1,Average
3,2.7,3.2,Needs improvement
4,2.8,3.3,Good
5,2.9,3.4,Average
6,3.0,3.5,Needs improvement
7,3.1,3.6,Good
8,3.2,3.7,Average
9,3.3,3.8,Needs improvement
10,3.4,3.9,Good
11,3.5,4.0,Average
12,3.6,4.1,Needs improvement
13,3.7,4.2,Good
14,3.8,4.3,Average
15,3.9,4.4,Needs improvement
16,4.0,4.5,Good
17,4.1,4.6,Average
18,4.2,4.7,Needs improvement
19,4.3,4.8,Good
20,4.4,4.9,Average
21,4.5,3.0,Needs improvement
22,4.6,3.1,Good
23,4.7,3.2,Average
24,4.8,3.3,Needs improvement
25,4.9,3.4,Good
