Rank,Student,Math,Physics,Literature
1,Student_1,70,65,72
2,Student_2,71,66,73
3,Student_3,72,67,74
4,Student_4,73,68,75
5,Student_5,74,69,76
6,Student_6,75,70,77
7,Student_7,76,71,78
8,Student_8,77,72,79
9,Student_9,78,73,80
10,Student_10,79,74,81
11,Student_11,80,75,82
12,Student_12,81,76,83
13,Student_13,82,77,84
14,Student_14,83,78,85
15,Student_15,84,79,86
16,Student_16,85,80,87
17,Student_17,86,81,88
18,Student_18,87,82,89
19,Student_19,88,83,90
20,Student_20,89,84,91
21,Student_21,90,85,92
22,Student_22,91,86,93
23,Student_23,92,87,94
24,Student_24,93,88,95
25,Student_25,94,89,96
