Teacher,Clarity,Engagement,Support,Overall
Teacher_1,3.5,3.8,3.6,4.0
Teacher_2,3.6,3.9,3.7,4.1
Teacher_3,3.7,4.0,3.8,4.2
Teacher_4,3.8,4.1,3.9,4.3
Teacher_5,3.9,4.2,4.0,4.4
Teacher_6,4.0,4.3,4.1,4.5
Teacher_7,4.1,4.4,4.2,4.6
Teacher_8,4.2,4.5,4.3,4.7
Teacher_9,4.3,4.6,4.4,4.0
Teacher_10,4.4,4.7,4.5,4.1
Teacher_11,4.5,4.8,3.6,4.2
Teacher_12,4.6,4.9,3.7,4.3
Teacher_13,4.7,3.8,3.8,4.4
Teacher_14,4.8,3.9,3.9,4.5
Teacher_15,4.9,4.0,4.0,4.6
Teacher_16,3.5,4.1,4.1,4.7
Teacher_17,3.6,4.2,4.2,4.0
Teacher_18,3.7,4.3,4.3,4.1
Teacher_19,3.8,4.4,4.4,4.2
Teacher_20,3.9,4.5,4.5,4.3
Teacher_21,4.0,4.6,3.6,4.4
Teacher_22,4.1,4.7,3.7,4.5
Teacher_23,4.2,4.8,3.8,4.6
Teacher_24,4.3,4.9,3.9,4.7
Teacher_25,4.4,3.8,4.0,4.0
